"","V1"
"HIVEP2",4.4144
"FMO1",3.2295
"ELOA",14.5595
"LYPLA2",66.137
"CLCN6",1.2978
"MRC2",24.9966
"NME1-NME2",0
"SLC6A7",0.0569
"TSPAN9",10.4279
"BTBD7",2.6574
"APBA3",1.97
"MKS1",1.6995
"ABHD5",7.685
"ANOS1",1.0729
"AKAP8L",7.3709
"MBTD1",2.3066
"UTP18",19.1443
"RNF216",7.0117
"TTC19",6.8473
"PTBP1",61.7359
"DPF1",0.1377
"SYT7",4.2181
"LARS2",1.906
"PIK3C2A",3.4761
"PLAUR",11.8834
"ANLN",6.2774
"WIZ",10.339
"RABGAP1",9.8842
"DCN",46.3102
"QPCTL",5.6011
"PPP5C",9.5195
"CEP68",2.6759
"MAP4K3",6.1617
"ZBTB32",0.1397
"TYROBP",51.3401
"TMEM159",26.8436
"GABRA3",0.088
"BRCA1",1.2313
"ERCC1",11.7803
"CD22",1.3736
"SEMA3B",7.0421
"MBTPS2",2.356
"PRICKLE3",4.3994
"LTF",102.3718
"EXTL3",2.3125
"NR1H4",0.0048
"ELOVL5",241.4414
"ALOX5",2.1164
"KDM5D",0.0018
"CALCOCO1",7.0936
"UBR7",17.7846
"MAP4K5",6.0813
"EHD3",3.9966
"PSMC4",72.6348
"MAN2B2",9.1305
"SLC7A14",0.0017
"CLDN11",0.4427
"SLC25A39",45.4134
"MVP",55.1715
"NUB1",16.2345
"PGM3",5.7271
"RWDD2A",2.6343
"CLK1",10.4833
"POLR3B",2.9248
"ANGEL1",1.9134
"RNF14",14.6377
"DNASE1L1",1.7758
"DDX11",2.2964
"HEBP1",32.5039
"GPRC5A",180.875
"MAMLD1",0.4815
"CD6",0.4524
"TACC3",4.1484
"UFL1",7.8456
"POLA2",1.2023
"ZC3H3",20.4256
"CAPN1",37.6396
"ACP3",0.1869
"MDH1",41.1322
"SLC30A9",5.0626
"MTMR11",5.7276
"COX15",7.4687
"CCDC88C",3.6117
"YAF2",1.1631
"ZMYND11",16.3236
"WAS",2.3494
"DPEP1",0.2541
"BID",11.3456
"MATR3",0.0793
"NPC1L1",0.1023
"XYLT2",11.4428
"RGPD5",0.0012
"STMN4",0.0317
"NUDCD3",12.7709
"ISL1",0
