"","V1"
"GNPAT",39.6286
"TSNAX",8.6051
"C1orf109",4.1059
"RRAGC",8.9422
"NID1",27.7355
"LGALS8",21.3079
"NT5C1A",0
"HPCAL4",0.0037
"MTR",4.4325
"BMP8B",2.3636
"MYCL",3.1253
"SIPA1L2",5.2112
"ZP4",0.0492
"RLF",6.9586
"KMO",1.2955
"ZNF684",0.8859
"KCNQ4",0.8639
"RIMS3",0.2611
"AKT3",1.2826
"ETV3",6.5436
"ACADM",6.9182
"ST6GALNAC5",0.9011
"SLAMF1",0.2366
"CD48",0.8283
"ADGRL2",1.0756
"PADI2",43.1024
"SDHB",49.9049
"MFAP2",24.8128
"RPF1",25.452
"KDM5B",11.9906
"UAP1",70.4228
"ACTL8",1.075
"CTBS",0.8576
"RGS4",6.203
"KLHL12",19.2321
"IGSF21",7.5389
"SSX2IP",3.4906
"ZNHIT6",4.6421
"PLA2G2D",0.0778
"RBBP5",14.6204
"GBP3",29.2644
"GBP1",57.1427
"KIF17",0.4396
"GPR89A",1.6947
"CDK18",1.5326
"RAB29",7.2866
"CD160",0.0744
"ECE1",61.2369
"HMGCL",8.4531
"GALE",30.9162
"ID3",46.167
"CR2",0.0178
"CD46",45.6392
"PRPF3",19.4331
"APH1A",125.6974
"P3H1",15.0238
"SLC2A1",22.9196
"EBNA1BP2",20.191
"CDC20",27.8971
"MPL",0.3047
"ARTN",8.0298
"IPO13",15.4066
"ATP6V0B",78.0132
"B4GALT2",16.8098
"ERI3",36.0125
"PTCH2",0.3032
"AKR1A1",77.1854
"PRDX1",323.4281
"PIK3R3",41.1467
"TSPAN1",30.3302
"BLZF1",14.6024
"CCDC181",0.1141
"SLC19A2",5.5822
"FAAH",7.7366
"NSUN4",3.4969
"TMED5",3.8303
"MROH9",0.0545
"DR1",6.5781
"CNN3",77.5251
"PRRC2C",21.0589
"F3",7.5072
"ABCD3",10.0649
"VAMP4",3.0061
"DPH5",12.1893
"FASLG",0.3661
"PTBP2",0.7628
"TNFSF4",3.7383
"PRDX6",275.6599
"DARS2",5.4011
"HSD11B1",0.1495
"IRF6",41.8001
"UTP25",3.3737
"PLPPR5",0.0185
"PLPPR4",0.973
"SERPINC1",0.8088
"RCAN3",3.7076
"SYF2",23.3332
"RSRP1",3.7928
"SLC35A3",2.8645
"RCOR3",5.768
"STMN1",48.4152
"MTFR1L",6.044
"MAN1C1",1.1424
"NEK2",7.562
"RPS6KA1",11.797
"DHDDS",6.3872
"NENF",197.185
"NSL1",3.0884
"PROX1",0.0545
"ARID1A",10.0201
"CENPF",10.7579
"RPA2",38.8491
"PPP1R8",24.0408
"STX12",15.3067
"MTARC2",15.8482
"SLC5A9",0.0652
"OSBPL9",11.6621
"TXNDC12",1.8882
"ESYT2",22.682
"POLR1G",2.1212
"MESD",14.9951
"RCN2",7.4041
"CHRNB4",0.1675
"MUC5B",0.3487
"CTSD",281.281
"COLEC11",0.2504
"STAG1",2.5451
"A4GNT",0
"STK11",10.2857
"KMT2A",1.8395
"TREH",0.0055
"IFT46",16.0932
"MMP8",0.0152
"APOA1",0.7457
"ZNF541",0.2802
"SLC8A2",0.4124
"KPTN",3.4447
"RPS25",552.1359
"KIF14",1.1991
"TNNT2",0.0355
"DDX59",7.6571
"CAMSAP2",7.7584
"ATF6",12.2429
"CRYGD",0
"MREG",10.5533
"TNP1",0
"FASTKD2",5.5537
"NRP2",4.1381
"CREB1",4.767
"KLF7",2.7635
"TTR",0
"B4GALT6",0.1901
"C1orf54",10.2001
"CA14",1.1237
"CFAP94",1.3572
"IRAG2",0.1473
"ATP10B",0.0123
"SPCS2",17.7553
"USP35",2.759
"ELOVL4",0.3924
"FILIP1",0.1843
"CASP8AP2",2.7063
"HMGN3",47.8775
"UBE3D",0.6084
"CNR1",0.0191
"SPACA1",0
"ANKRD13C",3.0986
"SGIP1",0.5352
"PHF3",3.7367
"ZC2HC1B",0
"ADGB",0.0806
"PLAGL1",0.6172
"FBXO30",2.2439
"TNFAIP3",3.488
"AKAP7",1.6847
"RAB32",25.47
"MYB",16.8697
"ALDH8A1",1.3081
"SGK1",2.5825
"RNF146",11.0989
"ARG1",0.0392
"CCN2",188.7114
"TCF21",0.0095
"PMFBP1",0.0342
"FBXL5",15.0024
"MED28",3.4437
"SLC16A7",0.1941
"RXYLT1",1.1168
"ZNF430",1.6393
"VAMP8",205.2386
"DCLRE1B",3.9829
"MYL12B",325.8329
"FOXO3",19.0363
"ARMC2",0.9728
"GHRH",4.7894
"RPN2",316.0137
"TGIF2",9.344
"CASQ2",0.6857
"OLFM3",0.004
"PKD2",2.8294
"ABCG2",0.3507
"SPP1",109.8129
"STBD1",0.2237
"CCNI",45.6096
"RARRES1",17.0625
"MFSD1",13.16
"RAB3GAP2",6.7633
"EEF2KMT",1.8636
"PPL",8.0019
"UBN1",7.5851
"KLF12",1.0586
"UCHL3",1.6886
"PCDH17",1.1893
"HS1BP3",3.1114
"LDAH",3.993
"WDR35",3.1961
"CCND2",5.2787
"FGF23",0
"ELL2",9.2787
"DNAH7",0.1425
"CYP20A1",3.0539
"NDUFB3",104.453
"GTF3C3",6.1345
"SATB2",0.1476
"UBE2B",17.9851
"TRPM6",0.0151
"GDA",0.0044
"KLF9",7.3753
"TJP2",0.0125
"ECRG4",0.102
"ITGB1BP1",9.1132
"CPSF3",18.0863
"PIGZ",3.2351
"SENP5",8.9178
"CCDC92",8.9532
"C1orf198",66.042
"TRIM67",0.0466
"HEATR1",5.2792
"PTBP3",11.4471
"RAD23B",68.8176
"FKBP15",5.5256
"CTNNAL1",11.132
"ABITRAM",16.672
"DYNC2I2",48.2448
"SET",116.9742
"PTPA",68.52
"GLE1",18.0821
"RAB14",28.7341
"CNTRL",1.9803
"TRIM32",8.6918
"FBXW2",6.1515
"PHF19",3.4518
"NEK6",14.0698
"BSPRY",32.6874
"PPP6C",24.8514
"NDUFA8",124.3773
"HDHD3",24.4673
"RBM18",10.026
"SLC46A2",0.1481
"HSDL2",23.8923
"MAPKAP1",16.3976
"NR4A3",0.168
"INVS",2.1043
"GALNT12",0.2911
"DENND1A",2.5584
"ALG2",17.0779
"CSF3R",0.3651
"KDSR",9.7213
"VPS4B",11.8876
"ONECUT2",0.0074
"C19orf25",7.5103
"ZBTB45",11.112
"YLPM1",4.0353
"DCAF4",3.5555
"PROX2",0.0216
"VSX2",0
"FCF1",10.2087
"PGF",1.6507
"IFI27L2",7.6087
"BBOF1",2.4443
"NEK9",5.6325
"ACYP1",3.3175
"IFT43",9.7889
"NPC2",64.2366
"DNAL1",2.6619
"IRF2BPL",16.7454
"ACOT2",14.6851
"LTBP2",16.327
"AREL1",5.2281
"MLH3",3.699
"TTLL5",2.7074
"FLVCR2",0.7331
"ABCD4",2.3757
"DLST",23.8648
"PPP4R4",0.021
"TGFB3",14.2421
"ZC2HC1C",0.4139
"SLIRP",33.1241
"RBM25",7.8368
"ALDH6A1",2.6595
"GPR68",1.1712
"ESRRB",0.2287
"EIF2B2",5.9176
"NRDE2",0.7688
"COQ6",1.2561
"ZNF410",0.0642
"RHOQ",6.932
"GPR75",0.0913
"SUPT7L",7.1523
"KLHL29",0.1471
"DNMT3A",3.7602
"TMEM214",42.6539
"ATAD2B",1.4572
"FKBP1B",0.9539
"ATL2",8.4606
"YPEL5",30.5525
"FAM98A",14.6981
"YIPF4",4.2224
"AFTPH",7.4111
"LGALSL",5.0179
"CNRIP1",2.421
"BCL11A",0.0206
"CRIPT",3.6076
"EPCAM",132.5937
"SLC17A5",8.2368
"OGFRL1",4.3224
"SLF2",3.9327
"IDE",4.5242
"TECTB",0
"ELOVL3",0.5962
"IFIT3",245.2231
"NKX2-3",0.0167
"IFIT2",152.9253
"GPAM",1.918
"CUTC",9.5674
"PPP1R3C",2.7304
"PYROXD2",6.0825
"CNNM1",0.1864
"MXI1",9.6964
"SMNDC1",7.8607
"C10orf88",2.8877
"HELLS",1.9512
"PRLHR",0
"TCTN3",23.9323
"DENND10",1.9099
"AVPI1",6.6518
"WDR11",3.0824
"ARMH3",8.1282
"KCNIP2",0.1587
"CFAP58",0.2939
"GOT1",33.8797
"CPN1",0
"C10orf95",0.0355
"SFRP5",0
"GNA13",10.0041
"HOXB8",0.4484
"KANSL1",1.4671
"HOXB5",0.639
"CRHR1",0
"HOXB3",1.7048
"HOXB1",0.021
"DUSP1",30.6819
"PANK3",4.7907
"MSX2",21.4068
"TEK",1.5093
"RCL1",5.2458
"CAAP1",3.8738
"EQTN",0
"MOB3B",1.2968
"INSL6",0
"INSL4",0.0178
"MLANA",0.058
"CD274",1.7312
"IFNA6",0
"IFNA8",0
"GRIA2",0.0019
"NUP43",13.3283
"MTHFD1L",4.4404
"LRP11",0.3693
"CCDC170",3.9725
"PCMT1",36.078
"PLEKHG1",1.353
"MYCT1",3.1563
"CXorf21",1.242
"MAGEB4",0.0079
"CYSTM1",30.8062
"WDR55",3.5003
"ARAP3",1.5802
"PCDHB8",0.1201
"PCDHB10",0.2691
"PCDHB14",0.587
"PCDHB12",0.2154
"SLC25A2",0.0123
"TNN",2.1037
"MRPS14",16.6508
"CENPL",3.4288
"TNFSF18",0.2684
"SEC16B",0.0236
"GORAB",3.9593
"GPR31",0.1463
"ACAT2",9.5539
"TCP1",49.7715
"TTLL2",0.0318
"SNX19",5.2381
"KCNJ5",0.407
"MSANTD2",1.6721
"TP53AIP1",0.318
"TEX11",0.1557
"ARR3",0.1609
"PDZD11",41.2889
"SLC10A7",0.7931
"NUDCD1",3.0503
"ENY2",12.5772
"MASTL",5.3135
"KIAA1217",20.2747
"LYZL1",0.0307
"PLXDC2",12.3988
"EPC1",2.9689
"IQSEC3",0.1721
"CCDC77",2.1698
"TAF12",21.5994
"ENOX1",1.6205
"TNFSF11",0.0509
"MTRF1",1.6071
"SOHLH2",0.0879
"DNAJC15",13.0947
"PROSER1",8.5055
"UFM1",21.6102
"WBP4",6.5606
"ELF1",14.1149
"SMAD9",0.5126
"HSPH1",17.8233
"KBTBD7",3.297
"ALG5",16.0398
"EXOSC8",7.9732
"ETF1",30.0087
"TGFBI",40.3824
"FAM53C",7.556
"SIL1",17.3663
"PAIP2",19.9815
"MYOT",0.0185
"KDM3B",11.2431
"EGR1",18.1586
"SERP1",40.529
"PLS1",0.7234
"ZFP30",2.0739
"NR2C1",1.7
"UTP20",1.9971
"TMPO",4.4626
"ARL1",16.9407
"GLT8D2",8.7552
"MTERF2",5.7801
"SOCS2",0.5638
"NFYB",5.6896
"WASHC3",8.2617
"APAF1",0.5042
"DUSP4",3.3853
"CLU",212.3652
"TNFRSF10B",5.3032
"SORBS3",11.5988
"PTK2B",3.0728
"CHRNA2",0.055
"ADRA1A",0.0077
"PPP3CC",3.5628
"PDLIM2",1.6394
"EPHX2",4.8321
"RNF170",1.7891
"NPPB",0
"UBIAD1",6.7845
"TARDBP",20.5996
"TNFRSF8",0.146
"PRAMEF2",0
"ZNF706",13.4251
"LYPLA1",7.5606
"CRISPLD1",1.0655
"COPS5",8.988
"RDH10",10.5386
"EPX",0.064
"AKAP1",17.4761
"COIL",11.3883
"TRIM25",8.3052
"SCPEP1",92.9669
"SPOP",6.401
"TBX2",2.8018
"SLC35B1",8.7648
"TBX4",0.0218
"TEX14",0.5845
"FAM117A",1.3087
"NCAPH",3.1668
"LRAT",0.4108
"TMEM131L",2.554
"MND1",0
"TRIM6",1.6976
"ABCC11",1.5296
"TENT4B",1.5259
"ADCY7",0.2347
"CEP89",3.4935
"TSHZ3",1.7808
"ECHDC2",2.9932
"TAS2R8",0
"PLBD1",13.1857
"TAS2R10",0
"PRB2",0
"PYROXD1",1.7197
"IAPP",0
"KCNJ8",14.4243
"TAS2R7",0
"BCL2L14",0.7755
"TAS2R9",0
"PSPC1",12.645
"ZNF549",0.892
"A1BG",0.0435
"ZSCAN18",0.3914
"ZNF211",2.4356
"PDZRN3",4.6706
"RGSL1",0.0038
"LHX4",0.0857
"RNF2",6.8244
"TRMT1L",6.5038
"SEC22A",3.6077
"CSTA",1.0438
"DPPA4",0.0035
"POPDC2",2.0869
"B4GALT4",4.3371
"NAA50",21.823
"CD80",0.7739
"KIF18A",2.6292
"GJA8",0
"DESI2",21.8021
"MAPK8IP1",3.6287
"CRY2",6.5037
"PEX16",12.1066
"DEPDC7",0.7765
"CAT",14.2885
"PILRB",0.0965
"ZMYM2",7.7722
"GJB6",0.0904
"GJA3",0.06
"TBC1D15",4.1066
"ADGRB2",14.263
"HCRTR1",0.0068
"ZCCHC17",28.6936
"FABP3",17.2389
"KHDRBS1",73.6347
"TMEM39B",7.256
"CCRL2",0.8895
"CCR2",0.3005
"POLR3GL",9.0061
"GHSR",0.0056
"TNFSF10",267.3411
"ZNF639",9.3226
"SLITRK3",0.0066
"PIK3CA",1.9433
"PDS5A",5.9927
"TMEM156",0.2443
"LIAS",0.5638
"CPXM2",19.3504
"TMEM54",21.5481
"ZSCAN20",0.2522
"CSMD2",0.2643
"HPCA",0.1771
"LRIF1",6.3008
"TMIGD3",1.2747
"CLCC1",3.1999
"GPSM2",0.6253
"GTDC1",1.9006
"CXCR4",27.1769
"ZRANB3",0.8926
"ACVR2A",2.6589
"POLK",1.4189
"SV2C",0.025
"FLT3",0.1003
"RPL21",94.2703
"MTIF3",26.8036
"GTF3A",79.1857
"RASL11A",8.4057
"UBL3",8.7082
"FYTTD1",20.451
"MTERF4",0.9168
"XPNPEP2",0.1094
"SASH3",2.4106
"OCRL",8.6226
"PAEP",1.6623
"OBP2A",7.0393
"MRPS2",15.7157
"TBX22",0.0523
"FMOD",30.2316
"MYOG",0.0115
"LAX1",0.3388
"PLG",0.0024
"KIAA1191",26.7507
"COPA",82.2636
"CD244",0.1023
"LY9",0.1487
"HS3ST2",0.2124
"RBBP6",7.6541
"ZC3H7A",5.1916
"PRM2",0
"SERAC1",0.7601
"ANXA11",26.7532
"LDB3",0.1838
"OPN4",0.0563
"SHLD2",9.0571
"PRXL2A",26.3543
"ZNF205",7.9403
"NAA60",10.2829
"RPL5",318.8018
"ODF2L",3.0108
"PTGFR",0.175
"SPATA1",0.1381
"TRMT13",1.4469
"LRRC39",0.5499
"RWDD3",0.7219
"ZNF644",5.6093
"CCDC18",1.2656
"RPAP2",2.6713
"SLC66A2",10.8201
"BBS9",1.6108
"PMS2",1.6911
"ZMIZ2",18.1566
"OCM",0.0417
"SEPTIN7",10.7466
"EEPD1",2.7457
"KLHL7",4.1637
"HERPUD2",7.7108
"CBX3",62.0046
"HNRNPA2B1",52.5657
"WIPF3",0.9117
"NXPH1",0.0323
"NPY",0.0195
"FAM126A",0.3682
"HOXA7",0.0433
"INHBA",12.3212
"FKBP9",33.6427
"NT5C3A",26.769
"ARL4A",10.8258
"CCZ1",1.2275
"POLM",4.8935
"RAMP3",9.1876
"MRM2",0.0301
"TWIST1",5.9121
"SMU1",15.8409
"GLIPR2",19.5567
"SLC25A51",2.5286
"CLTA",75.8096
"RECK",3.9123
"SPINK4",0.5876
"TAF1L",0.0028
"ACO1",2.7319
"PHF24",0.0509
"DNAI1",0.866
"DCAF10",11.1971
"CNTFR",0.4393
"KIAA1549",0.5982
"TRIM24",3.8549
"CYREN",2.8822
"CALD1",35.4104
"AKR1D1",0.0051
"NUDT10",0.8433
"SFTPA1",0
"NEUROG3",0.0446
"PLAU",36.6042
"SRGN",18.0454
"CHST3",1.3115
"BICC1",2.3837
"CISD1",10.3773
"EGR2",1.7016
"ECD",14.6013
"P4HA1",57.106
"SLC25A16",2.2263
"ZWINT",17.5564
"VPS26A",13.7005
"RBM19",2.6352
"CIT",0.5489
"IFT81",2.1161
"ACADS",6.7447
"HVCN1",0.5675
"DDX54",6.4815
"MED13L",1.7615
"CDKN2C",6.1706
"RNF11",28.7307
"RASSF8",0.9129
"BHLHE41",3.1943
"SSPN",2.7724
"ITPR2",1.0601
"CCDC91",2.7553
"NECAB1",0.1318
"WWP1",12.6488
"ACOT9",4.9291
"PRDX4",69.1871
"DDX39A",23.4544
"PKN1",29.631
"TRIR",109.8332
"ADGRE5",3.612
"WDR83",1.5486
"GIPC1",31.2634
"ACTRT1",0
"CCDC70",0
"SPRYD7",4.789
"EBPL",43.8382
"ATP7B",0.3439
"ZC3H13",7.0417
"NLN",6.8494
"CENPK",0.4923
"OPTN",26.001
"ITIH5",0.7833
"ATF1",4.5836
"TSFM",0.1733
"NEUROD4",0
"ARHGAP9",0.5096
"NCKAP1L",1.0439
"MMP19",3.6734
"PFDN5",0.3155
"SPATS2",4.3489
"ORMDL2",8.4677
"NR4A1",3.4276
"PDE1B",1.2132
"HOXC13",13.825
"CDK2",8.2758
"LRP1",10.9594
"HOXC11",9.5169
"ATG101",6.5117
"NFE2",0.4047
"HOXC12",3.0773
"IKZF4",1.0005
"SMUG1",10.2967
"TUBA1B",22.5307
"EEF1AKMT3",5.3189
"KBTBD4",1.8065
"SARDH",3.1392
"DBH",0.0443
"ATPAF1",13.6208
"STIL",2.6854
"HJURP",2.4437
"IL13RA2",0.5775
"COL10A1",49.495
"AMD1",6.4602
"NDUFAF4",10.9938
"USP45",0.8989
"PLP1",0.1114
"SERPINA7",0
"MORF4L2",159.1792
"H2BW1",0
"RAB9B",0.3688
"NRK",1.6014
"FAM199X",5.6151
"ESX1",0
"MAGEA9",0
"ATXN3L",0
"RAB9A",12.0145
"METTL8",3.9095
"TTC21B",3.5554
"NMI",26.3237
"TNFAIP6",12.2941
"ACVR1C",0.0423
"BAZ2B",1.0881
"SLC36A1",2.2125
"LPGAT1",11.8611
"BATF3",0.5076
"G0S2",2.3025
"KCNJ2",0.8201
"RAP2C",7.5625
"EXOSC9",3.33
"PLA2G12A",4.0831
"B9D2",4.2207
"COQ8B",3.9979
"PFKFB2",4.2531
"C4BPA",0.2042
"C4BPB",0.076
"RAB38",11.5476
"GPR83",0.1301
"AGO2",4.3363
"MXD4",10.1425
"CKS2",82.4809
"DAW1",0
"ACSL3",9.5092
"CHPF",63.8751
"DNPEP",10.7002
"INHA",0.3933
"MOGAT1",0.0296
"OBSL1",5.224
"FAM124B",0.2977
"SLC12A4",4.6771
"ENKD1",5.8069
"MC3R",0
"GCNT7",0.0505
"CTCFL",0.0039
"FAM210B",95.8672
"PI3",0
"FAM209A",0.1956
"SNX21",3.5689
"SLPI",28.6496
"WFDC3",0.6796
"TTPAL",5.1874
"PREX1",47.3549
"KCNS1",0.0185
"SLC12A5",0.0156
"ARHGAP40",2.1116
"SDC4",89.7024
"NCOA3",3.6132
"PIGT",17.4395
"SEMG2",0
"MATN4",0.0423
"NCOA5",26.0013
"VAPB",7.5988
"PARD6B",2.6694
"ATP5F1E",113.1035
"CHD6",6.8108
"PLCG1",9.1068
"TOX2",0.2849
"SRSF6",36.6843
"GDAP1L1",0.0306
"GTSF1L",0.0622
"ARFGEF2",6.3481
"ZNFX1",33.9739
"ZNF831",0.018
"EDN3",0
"CSE1L",92.9351
"PEDS1-UBE2V1",0
"RAB22A",9.4935
"PTGIS",0.9178
"STAU1",60.8713
"CDH26",0.1874
"SNAI1",5.2113
"MOCS3",4.2416
"STX16",11.9354
"PMEPA1",33.3111
"RNF114",66.1287
"ANKRD60",0
"DDX27",13.4848
"RBPJL",0.0063
"SEMG1",0
"C20orf85",7.2577
"BCAS4",5.7945
"KCNK15",19.3525
"TP53TG5",0.1051
"PCK1",0.0229
"ZBP1",6.3794
"NEURL2",0.0668
"MAGEA10",0.036
"MTRR",4.1878
"FASTKD3",3.7734
"PEPD",13.1819
"CHST8",8.6941
"IQSEC2",1.8591
"VAMP7",15.2936
"VAMP7",0
"IL9R",0.0347
"IL9R",0
"XG",2.0563
"STAMBP",6.2172
"NAGK",14.4214
"MCEE",6.724
"PAIP2B",1.0405
"SNRNP27",8.5428
"MPHOSPH10",17.7874
"IL17C",0
"ATP8A1",0.5698
"USP22",9.6832
"POF1B",0.291
"HIF3A",0.027
"ZNF576",3.3318
"IRGC",0.0509
"ZNF45",2.4964
"LYPD3",8.6483
"PSG8",0
"CEACAM8",0.0136
"NDP",2.9729
"USP9X",10.6575
"CRISP2",0.4353
"F13A1",9.2019
"GRM4",0.1045
"TRERF1",3.4318
"PACSIN1",0.8142
"BTN2A2",1.6171
"SIRT5",2.9367
"MRS2",6.775
"WRNIP1",20.2252
"RRP36",31.969
"BTN1A1",0.042
"SNRPC",108.1401
"SLC17A3",0.0145
"SLC17A1",0
"SERPINB6",7.0733
"XPO5",7.5839
"ABCC10",2.0813
"H1-3",0.0896
"PEX6",13.7048
"NQO2",20.8129
"AL365205.1",0.0427
"OARD1",3.6593
"UNC5CL",6.1046
"AARS2",5.5661
"H1-1",0.023
"ZNF391",0.5468
"RPS10",0.6647
"MOCS1",1.4451
"H2BC11",1.413
"MED20",12.5558
"OR2B6",0.1292
"TBCC",29.8392
"SPDEF",160.8814
"TCP11",0.051
"MAD2L1BP",17.4823
"APOBEC2",0.1511
"KLHDC3",54.1884
"GNMT",1.8746
"DNAH8",0.0068
"TREM1",0.5313
"MEA1",27.1917
"KLHL31",0.2619
"COL21A1",0.2792
"CDKN1A",38.0787
"SOX4",63.4352
"GLO1",87.8412
"CPNE5",0.5332
"KCNK17",3.9625
"RREB1",3.9384
"SSR1",26.1994
"RIOK1",8.4338
"NRN1",6.1992
"SLC35B3",7.439
"RPP40",8.3555
"ATXN1",3.7883
"NUP153",8.9313
"DEK",11.9527
"EEF1E1",2.1485
"CRISP1",1.1003
"RUNX2",1.8318
"OPN5",0.0034
"GCM2",0.0274
"LRRFIP1",7.1602
"RAB17",3.4842
"CXCL6",0
"EREG",0.0091
"TRIM51",0.019
"MYRF",0.1033
"SCGB1D2",1513.8782
"SCGB2A1",44.7076
"AHNAK",20.3154
"EMC3",20.6785
"SSUH2",0.3462
"WNT1",0.0215
"SH3TC1",0.684
"CNOT1",4.2064
"LRRC29",0.7681
"BBS2",2.7467
"MT1G",0.3936
"MT2A",400.6316
"C16orf70",3.0641
"GOT2",23.8595
"DOK4",2.4051
"PIWIL1",0.0099
"GPR18",0.5515
"CLYBL",0.9456
"TMTC4",5.5598
"RAP2A",5.3064
"SLC10A2",0
"ABCC4",2.94
"EFNB2",2.7237
"SOX21",0
"TM9SF2",39.2311
"HROB",1.3714
"KIF25",0.0519
"IRF1",6.7223
"UPF3B",4.6447
"RNF113A",16.6147
"SEPTIN6",5.6912
"TMEM255A",0.2569
"NDUFA1",406.0817
"AMELX",0
"DMAC2L",2.4193
"BMP4",3.2519
"PTGER2",0.7759
"FAM193A",4.4552
"GRK4",0.6315
"SOX9",40.7832
"TEKT3",0.3411
"MYH2",0.1065
"HS3ST3B1",1.7165
"SLC25A35",5.3458
"MRPS7",8.3622
"GGA3",2.1806
"ARMC7",3.5145
"NUP85",4.9857
"SLC25A19",1.4315
"MIF4GD",3.4067
"NT5C",3.278
"MSTO1",5.5707
"TTF1",7.9721
"GTF3C4",5.6948
"DDX31",4.5555
"BARHL1",0
"KIR2DL1",0
"PPP1R12C",4.0379
"MBOAT7",41.8308
"SRMS",4.3929
"OPRL1",0.0096
"SLC2A4RG",63.7929
"NPBWR2",0
"FNDC11",0.1107
"BHLHE23",0
"PPDPF",989.061
"IL1B",0.6992
"PLGLB2",0.0215
"IL37",0
"CHCHD5",5.7776
"PAX8",0.1651
"INSIG2",9.8122
"POLR1B",4.047
"CCDC93",2.3565
"PSD4",3.569
"SLC25A23",13.7652
"PSPN",0.9914
"GTF2F1",45.9976
"ALKBH7",51.719
"CLPP",21.0963
"TNFSF9",2.0432
"GRIA3",0.1448
"THOC2",6.1249
"MED1",25.5429
"RPL23",139.176
"AC046185.1",0
"ATG4C",3.4319
"CD70",0.4546
"C3",28.9307
"SH2D3A",1.611
"TRIP10",7.5075
"GPR108",19.8992
"TNFSF14",0.2583
"FOSB",0.5135
"OPA3",2.6902
"SNRPD2",188.3717
"RTN2",2.6888
"EML2",4.6018
"VASP",47.5152
"SYMPK",10.5795
"GPCPD1",2.2945
"SDCBP2",2.234
"PANK2",6.1044
"TGM3",0
"GNRH2",0.0423
"DEFB126",0
"FOXA2",0
"CD93",7.8912
"GZF1",5.8672
"PAX1",0.2792
"NAPB",2.3587
"CST8",0
"NKX2-4",0
"CENPB",53.2956
"PSMF1",31.2168
"NKX2-2",0
"DTD1",2.9947
"CSTL1",0
"RBCK1",46.5803
"TMX4",8.0192
"CST11",0
"STK35",13.6024
"SNRPB",193.7868
"NRSN2",51.9273
"AP5S1",3.2047
"RRBP1",81.413
"BMP2",0.2109
"ZNF133",4.1724
"FLRT3",3.4535
"OVOL2",8.6191
"PCSK2",0.0346
"GFRA4",0
"MKKS",6.1303
"BFSP1",2.1148
"DSTN",252.3362
"LAMP5",14.6548
"SNRPB2",57.685
"MGME1",24.1143
"LRRN4",0.0237
"TBC1D20",19.291
"ITPA",38.0713
"TCF15",0.1118
"OTOR",0.2769
"MCM8",1.101
"BANF2",0.0128
"TMEM74B",0.0787
"FAM110A",29.8256
"SIRPD",0
"MRPS26",109.72
"DEFB129",0
"S1PR4",0.6169
"NCLN",22.6358
"CITED1",0
"HNRNPR",12.7814
"ZNF436",15.7351
"MAX",15.9959
"CHURC1-FNTB",0
"ARMCX5",2.1386
"GDF5",0.2974
"MMP24",0.151
"NECAB3",8.7461
"ID1",16.5984
"RALY",35.0888
"DYNLRB1",6.0345
"C20orf173",0.012
"EIF2S2",33.6402
"ERGIC3",55.4507
"ROMO1",109.8773
"FAM83C",0.0055
"BPIFB1",2.8144
"CEP250",3.0701
"PLAGL2",4.0796
"MMP24OS",14.761
"GRPR",8.6905
"KDM5C",13.8675
"AMOT",3.8949
"TMEM115",35.0569
"PSMB2",49.0885
"AGO3",1.1722
"UROD",15.6187
"ST3GAL3",0.0367
"TMEM53",2.8614
"HECTD3",15.7357
"KLC1",0.7714
"XRCC3",1.5218
"TUBGCP3",2.9892
"MCF2L",2.0836
"F10",0.6967
"PCID2",6.5978
"PROZ",0.1453
"SLURP1",5.873
"LRFN3",3.5422
"IGFLR1",0.2999
"CAPNS1",169.1588
"PDCD2L",5.3294
"GPR42",0
"RBM42",39.7106
"KIRREL2",0.0102
"UBA2",22.6823
"FFAR2",0.6185
"HCST",1.7881
"FFAR1",0.0226
"COX6B1",269.8785
"KRT36",0.0466
"THRA",9.633
"CCR7",1.4282
"NR1D1",9.5668
"FRMD8",14.9524
"PRDX5",345.2763
"BCL2L12",12.4212
"IRF3",21.5908
"PRMT1",24.1861
"RRAS",62.1682
"PRRG2",9.7169
"SCAF1",27.8896
"PRR12",7.4189
"TSKS",0.0441
"FLRT1",0.0088
"ASL",0.8995
"SBDS",45.9798
"CSN1S1",0
"STATH",0
"HTN1",0
"STAT5A",4.105
"WNK4",0.3256
"BECN1",3.9255
"PRKCG",0.0102
"TRAP1",8.622
"GLIS2",5.358
"NSRP1",8.3468
"DNAJC8",60.5459
"AHDC1",8.3808
"IFI6",5969.24
"DACH2",0.0025
"ZNF384",2.6816
"EMG1",6.5648
"SSX1",0
"UXT",38.8895
"CFP",0.0186
"ELK1",16.6871
"TIMM17B",17.361
"PCNX4",2.2577
"ATG14",4.8479
"KTN1",29.2269
"SIX1",7.0301
"RHOJ",2.5516
"DLGAP5",6.0426
"L3HYPDH",2.0808
"HSPA2",25.4818
"ZBTB1",6.0857
"TRMT5",4.8816
"SGPP1",3.9874
"PLEKHG3",2.6438
"PZP",0.0139
"PRDM7",0
"RHOT1",4.5445
"EVI2A",0.9748
"OMG",0.0725
"DYNC2I1",2.3143
"AIF1L",2.7268
"FAM78A",0.8182
"NUP214",7.3866
"CTAG2",0
"AVPR2",0.054
"SLC10A3",25.7998
"MAP2K2",30.6662
"HNRNPH2",40.1988
"ARMCX1",20.1457
"TMEM35A",0.0072
"NXF5",0
"TIMM8A",2.0254
"ZC4H2",1.5798
"CANX",146.0796
